Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0, 0, 0, 0, 7933, 0, 0
0, 0, 0, 0, 8169, 0, 0
0, 0, 0, 0, 8187, 0, 0
0, 0, 0, 0, 8215, 0, 0
0, 0, 0, 0, 8145, 0, 0
0, 0, 0, 0, 7971, 0, 0
0, 0, 0, 0, 8422, 0, 0
0, 0, 0, 0, 8507, 0, 0
0, 0, 0, 0, 8661, 0, 0
0, 0, 0, 0, 8186, 0, 0
0, 0, 0, 0, 7910, 0, 0
0, 0, 0, 0, 8440, 0, 0
0, 0, 0, 0, 7985, 0, 0
0, 0, 0, 0, 8307, 0, 0
0, 0, 0, 0, 7945, 0, 0
0, 0, 0, 0, 8265, 0, 0
0, 0, 0, 0, 8143, 0, 0
0, 0, 0, 0, 8705, 0, 0
0, 0, 0, 0, 8615, 0, 0
0, 0, 0, 0, 8131, 0, 0
0, 0, 0, 0, 8391, 0, 0
0, 0, 0, 0, 7859, 0, 0
0, 0, 0, 0, 8334, 0, 0
0, 0, 0, 0, 7992, 0, 0
0, 0, 0, 0, 8380, 0, 0
0, 0, 0, 0, 8030, 0, 0
0, 0, 0, 0, 8065, 0, 0
0, 0, 0, 0, 8758, 0, 0
0, 0, 0, 0, 8489, 0, 0
0, 0, 0, 0, 8333, 0, 0
0, 0, 0, 0, 8120, 0, 0
0, 0, 0, 0, 8027, 0, 0
0, 0, 0, 0, 8322, 0, 0
0, 0, 0, 0, 8064, 0, 0
0, 0, 0, 0, 8359, 0, 0
0.0464035, 0.000529004, 0.00224841, 0.00107219, 7877, 3289, 56694
0.00279806, 0.000812263, 0.00195424, 0.000747655, 8330, 3705, 19008
0.00131626, 0.000622597, 0.000691278, 0.000242073, 8623, 3822, 11055
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8547, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8398, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7897, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8258, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8150, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8248, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8104, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7996, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8410, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8495, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8680, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8150, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7947, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8447, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7952, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8344, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7913, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8304, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8218, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8595, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8658, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7953, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8532, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7862, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8363, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7955, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8409, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7988, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8099, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8729, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8485, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8373, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8053, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8061, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8292, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8101, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8297, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7874, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8385, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8591, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8574, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8363, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7874, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8332, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8113, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8269, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8066, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8087, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8376, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8499, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8703, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8110, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7973, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8423, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7948, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8369, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7876, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8345, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8188, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8626, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8666, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7921, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8281, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8225, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8038, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8184, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8066, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8318, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8135, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8701, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8476, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8398, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8016, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8091, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8262, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8143, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8226, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7889, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8413, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8564, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8604, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8296, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7874, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8384, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8071, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8282, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8036, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8156, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8345, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8501, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8720, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8076, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8059, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8388, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7978, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8346, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7849, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8384, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8147, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8635, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8690, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7887, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8324, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8192, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8077, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8148, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8105, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8398, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7883, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8684, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8636, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8434, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7975, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8130, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8222, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8174, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8187, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7919, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8418, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8539, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8632, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8230, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7870, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8430, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8034, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8292, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7996, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8210, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8307, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8505, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8725, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8045, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8132, 3794, 5577
